Number,Title,Year,Runtime,Genre,Rating,Budget,Votes,Metascore
184,Labyrinth,-1986,101 min,Adventure -  Family -  Fantasy,7.3,"$25,000,000 ",142477,50
185,Monster Hunter,(I) (2020),103 min,Action -  Adventure -  Fantasy,5.2,"$60,000,000 ",63280,47
186,Weathering with You,-2019,112 min,Animation -  Drama -  Fantasy,7.5,"$11,100,000 ",46883,72
187,Toy Story 4,-2019,100 min,Animation -  Adventure -  Comedy,7.7,"$200,000,000 ",260666,84
188,13 Going on 30,-2004,98 min,Comedy -  Fantasy -  Romance,6.3,"$37,000,000 ",200761,57
189,Highlander,-1986,116 min,Action -  Adventure -  Fantasy,7.1,"$16,000,000 ",140355,24
190,Tomb Raider,-2018,119 min,Action -  Adventure -  Fantasy,6.3,"$94,000,000 ",219140,48
191,The Princess and the Frog,-2009,97 min,Animation -  Adventure -  Comedy,7.1,"$105,000,000 ",153181,73
192,Dark City,-1998,100 min,Fantasy -  Mystery -  Sci-Fi,7.6,"$27,000,000 ",204530,66
193,The Lord of the Rings: The War of the Rohirrim,-2024,,Animation -  Action -  Adventure,,,,
194,Night at the Museum,-2006,108 min,Adventure -  Comedy -  Family,6.4,"$110,000,000 ",359508,48
195,Batman Returns,-1992,126 min,Action -  Crime -  Fantasy,7.1,"$80,000,000 ",312866,68
196,Shrek 2,-2004,93 min,Animation -  Adventure -  Comedy,7.3,"$150,000,000 ",479630,75
197,The Crow,-1994,102 min,Action -  Crime -  Drama,7.5,"$23,000,000 ",189832,71
198,Mulan,-1998,87 min,Animation -  Adventure -  Comedy,7.6,"$90,000,000 ",297914,71
199,Luca,-2021,95 min,Animation -  Adventure -  Comedy,7.4,,172263,71
200,Soul,-2020,100 min,Animation -  Adventure -  Comedy,8,,343552,83
200,Soul,-2020,100 min,Animation -  Adventure -  Comedy,8,,343552,83
201,Bridge to Terabithia,-2007,96 min,Drama -  Family -  Fantasy,7.2,"$17,000,000 ",163624,74
202,Mulan,-2020,115 min,Action -  Adventure -  Drama,5.7,"$200,000,000 ",152140,66
203,Peter Pan,-1953,77 min,Animation -  Adventure -  Family,7.3,"$4,000,000 ",145524,76
204,Ghostbusters Sequel,-2023,,Adventure -  Comedy -  Fantasy,,,,
205,Idle Hands,-1999,92 min,Comedy -  Fantasy -  Horror,6.2,"$25,000,000 ",44887,31
206,The NeverEnding Story,-1984,102 min,Adventure -  Drama -  Family,7.3,"$27,000,000 ",149410,46
207,Trolls,-2016,92 min,Animation -  Adventure -  Comedy,6.4,"$125,000,000 ",85646,55
208,Princess Mononoke,-1997,134 min,Animation -  Action -  Adventure,8.3,"¥2,400,000,000",405178,76
209,Drive Angry,-2011,104 min,Action -  Comedy -  Fantasy,5.4,"$50,000,000 ",101283,44
210,Miss Peregrine's Home for Peculiar Children,-2016,127 min,Adventure -  Drama -  Family,6.7,"$110,000,000 ",179396,57
211,The Mask,-1994,101 min,Action -  Comedy -  Crime,6.9,"$23,000,000 ",397717,56
212,The Three Musketeers,-2011,110 min,Action -  Adventure -  Fantasy,5.7,"$75,000,000 ",109634,35
213,Excalibur,-1981,140 min,Adventure -  Drama -  Fantasy,7.3,"$11,000,000 ",64130,56
214,Life of Pi,-2012,127 min,Adventure -  Drama -  Fantasy,7.9,"$120,000,000 ",643815,79
