Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
58.,The Girl with the Dragon Tattoo,(2011),158 min,Crime -  Drama -  Mystery,7.8,"$90,000,000","102,515,793",473357,71
59.,John Wick: Chapter 2,(2017),122 min,Action -  Crime -  Thriller,7.4,"$40,000,000","92,029,184",473037,75
60.,Captain Phillips,(2013),134 min,Action -  Biography -  Crime,7.8,"$55,000,000","107,100,855",472035,82
61.,Mystic River,(2003),138 min,Crime -  Drama -  Mystery,7.9,"$25,000,000","90,135,191",466786,84
62.,We're the Millers,(2013),110 min,Comedy -  Crime,7.0,"$37,000,000","150,394,119",462339,44
63.,Horrible Bosses,(2011),98 min,Comedy -  Crime,6.9,"$35,000,000","117,538,559",457304,57
64.,Gangs of New York,(2002),167 min,Crime -  Drama,7.5,"$100,000,000","77,812,000",453192,72
65.,Training Day,(2001),122 min,Action -  Crime -  Drama,7.7,"$45,000,000","76,631,907",449056,69
66.,Sicario,(2015),121 min,Action -  Crime -  Drama,7.6,"$30,000,000","46,889,293",444773,82
67.,In Bruges,(2008),107 min,Comedy -  Crime -  Drama,7.9,"$15,000,000","7,757,130",444384,67
68.,Crash,(I) (2004),112 min,Crime -  Drama -  Thriller,7.7,"$6,500,000","54,580,300",441972,66
69.,American Gangster,(2007),157 min,Biography -  Crime -  Drama,7.8,"$100,000,000","130,164,645",435546,76
70.,Collateral,(2004),120 min,Action -  Crime -  Drama,7.5,"$65,000,000","101,005,703",415117,71
71.,Despicable Me 2,(2013),98 min,Animation -  Adventure -  Comedy,7.3,"$76,000,000","368,061,265",409543,62
72.,The Godfather Part III,(1990),162 min,Crime -  Drama,7.6,"$54,000,000","66,666,062",406762,60
73.,The Irishman,(2019),209 min,Biography -  Crime -  Drama,7.8,"$159,000,000","7,000,000",402144,94
74.,Fast & Furious 6,(2013),130 min,Action -  Adventure -  Crime,7.0,"$160,000,000","238,679,850",401876,61
75.,The Town,(2010),125 min,Crime -  Drama -  Thriller,7.5,"$37,000,000","92,186,262",400496,74
76.,Ocean's Twelve,(2004),125 min,Crime -  Thriller,6.5,"$110,000,000","125,544,280",399705,58
77.,Furious 7,(2015),137 min,Action -  Crime -  Thriller,7.1,"$190,000,000","353,007,020",398043,67
78.,The Mask,(1994),101 min,Action -  Comedy -  Crime,6.9,"$23,000,000","119,938,730",398000,56
79.,Wanted,(2008),110 min,Action -  Crime -  Thriller,6.7,"$75,000,000","134,508,551",397175,64
80.,The Fast and the Furious,(2001),106 min,Action -  Crime -  Thriller,6.8,"$38,000,000","144,533,925",395793,58
81.,Fast Five,(2011),130 min,Action -  Crime -  Thriller,7.3,"$125,000,000","209,837,675",389462,66
82.,22 Jump Street,(2014),112 min,Action -  Comedy -  Crime,7.0,"$50,000,000","191,719,337",388259,71
83.,Glass Onion,(2022),139 min,Comedy -  Crime -  Drama,7.1,"$40,000,000",,387815,81
84.,Face/Off,(1997),138 min,Action -  Crime -  Sci-Fi,7.3,"$80,000,000","112,225,777",386539,82
85.,John Wick: Chapter 3 - Parabellum,(2019),130 min,Action -  Crime -  Thriller,7.4,"$75,000,000","171,015,687",386087,73
86.,The Equalizer,(2014),132 min,Action -  Crime -  Thriller,7.2,"$55,000,000","101,530,738",383337,57
87.,Inside Man,(2006),129 min,Crime -  Drama -  Mystery,7.6,"$45,000,000","88,513,495",382834,76
88.,The Italian Job,(2003),111 min,Action -  Crime -  Thriller,7.0,"$60,000,000","106,128,601",376435,68
89.,Home Alone 2: Lost in New York,(1992),120 min,Adventure -  Comedy -  Crime,6.8,"$28,000,000","173,585,516",374148,46
90.,Man on Fire,(2004),146 min,Action -  Crime -  Drama,7.7,"$70,000,000","77,911,774",371253,47
91.,Once Upon a Time in America,(1984),229 min,Crime -  Drama,8.3,"$30,000,000","5,321,508",359348,75
92.,The Gentlemen,(2019),113 min,Action -  Comedy -  Crime,7.8,"$22,000,000","36,471,795",358879,51
93.,Jackie Brown,(1997),154 min,Crime -  Drama -  Thriller,7.5,"$12,000,000","39,673,162",358009,64
94.,Ocean's Thirteen,(2007),122 min,Crime -  Thriller,6.9,"$85,000,000","117,154,724",355238,62
95.,Pineapple Express,(2008),111 min,Action -  Comedy -  Crime,6.9,"$27,000,000","87,341,380",347220,64
96.,Kingsman: The Golden Circle,(2017),141 min,Action -  Adventure -  Comedy,6.7,"$104,000,000","100,234,838",342021,44
97.,The Nice Guys,(2016),116 min,Action -  Comedy -  Crime,7.3,"$50,000,000","36,261,763",341136,70
98.,Burn After Reading,(2008),96 min,Comedy -  Crime -  Drama,7.0,"$37,000,000","60,355,347",340553,63
99.,Lord of War,(2005),122 min,Crime -  Drama,7.6,"$50,000,000","24,149,632",325428,62
100.,From Dusk Till Dawn,(1996),108 min,Action -  Crime -  Horror,7.2,"$19,000,000","25,753,840",324298,48
101.,The Hangover Part III,(2013),100 min,Comedy -  Crime,5.8,"$103,000,000","112,200,072",322783,30
102.,To Kill a Mockingbird,(1962),129 min,Crime -  Drama,8.3,"$2,000,000",,321676,88
103.,3:10 to Yuma,(2007),122 min,Action -  Crime -  Drama,7.7,"$55,000,000","53,606,916",319615,76
104.,"O Brother, Where Art Thou?",(2000),107 min,Adventure -  Comedy -  Crime,7.7,"$26,000,000","45,512,588",319436,69
105.,Lucky Number Slevin,(2006),110 min,Crime -  Drama -  Thriller,7.7,"$27,000,000","22,494,487",318604,53
106.,The Untouchables,(1987),119 min,Crime -  Drama -  Thriller,7.8,"$25,000,000","76,270,454",318063,79
107.,Deja Vu,(2006),126 min,Action -  Crime -  Sci-Fi,7.1,"$75,000,000","64,038,616",317298,59
108.,Donnie Brasco,(1997),127 min,Biography -  Crime -  Drama,7.7,"$35,000,000","41,909,762",316220,76
