Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
271.,Thelma & Louise,(1991),130 min,Adventure -  Crime -  Drama,7.5,"$16,500,000","45,361,000",161246,88
272.,Spy Game,(2001),126 min,Action -  Crime -  Thriller,7.0,"$115,000,000","26,871",160767,63
273.,Death on the Nile,(2022),127 min,Crime -  Drama -  Mystery,6.3,"$90,000,000","45,630,104",160555,52
274.,Double Indemnity,(1944),107 min,Crime -  Drama -  Film-Noir,8.3,"$927,262","5,720,000",160502,95
275.,Halloween,(I) (2018),106 min,Crime -  Horror -  Thriller,6.5,"$10,000,000","159,342,015",160050,67
276.,Wall Street,(1987),126 min,Crime -  Drama,7.3,"$15,000,000","43,848,100",159774,56
277.,On the Waterfront,(1954),108 min,Crime -  Drama -  Thriller,8.1,"$910,000","9,600,000",158221,91
278.,Analyze This,(1999),103 min,Comedy -  Crime,6.7,"$80,000,000","106,885,658",157539,61
279.,Snowden,(2016),134 min,Biography -  Crime -  Drama,7.3,"$40,000,000","21,587,519",156322,58
280.,Bad Times at the El Royale,(2018),141 min,Crime -  Drama -  Mystery,7.1,"$32,000,000","17,839,115",155693,60
281.,Monster,(2003),109 min,Biography -  Crime -  Drama,7.3,"$8,000,000","34,469,210",155677,74
282.,Sicario: Day of the Soldado,(2018),122 min,Action -  Crime -  Drama,7.1,"$35,000,000","50,072,235",155585,61
283.,The Drop,(2014),106 min,Crime -  Drama -  Thriller,7.0,"$12,600,000","10,724,389",155420,69
284.,Green Street Hooligans,(2005),109 min,Crime -  Drama -  Sport,7.4,,"344,095",155346,55
285.,Man on a Ledge,(2012),102 min,Action -  Crime -  Thriller,6.6,"$42,000,000","18,620,000",155258,40
286.,State of Play,(2009),127 min,Crime -  Drama -  Mystery,7.1,"$60,000,000","37,017,955",155151,64
287.,Rounders,(1998),121 min,Crime -  Drama,7.3,"$12,000,000","22,905,674",155143,54
288.,Logan Lucky,(2017),118 min,Action -  Comedy -  Crime,7.0,"$29,000,000","27,780,977",155029,78
289.,Kindergarten Cop,(1990),111 min,Action -  Comedy -  Crime,6.2,"$15,000,000","91,457,688",154852,61
290.,A Simple Favor,(2018),117 min,Comedy -  Crime -  Mystery,6.8,"$20,000,000","53,548,586",154363,67
291.,Murder Mystery,(2019),97 min,Action -  Comedy -  Crime,6.0,,,154117,38
292.,Crank: High Voltage,(2009),96 min,Action -  Crime -  Thriller,6.1,"$20,000,000","13,630,226",153846,41
293.,Mr. Brooks,(2007),120 min,Crime -  Drama -  Thriller,7.3,"$20,000,000","28,476,219",152930,45
294.,Dogville,(2003),178 min,Crime -  Drama,8.0,"$10,000,000","1,530,386",152683,59
295.,White Chicks,(2004),109 min,Comedy -  Crime,5.7,"$37,000,000","70,831,760",152502,41
296.,Nightmare Alley,(2021),150 min,Crime -  Drama -  Thriller,7.0,"$60,000,000",,152321,70
297.,Vantage Point,(2008),90 min,Action -  Crime -  Drama,6.6,"$40,000,000","72,266,306",152063,40
298.,Four Brothers,(2005),109 min,Action -  Crime -  Drama,6.8,"$45,000,000","74,494,381",151428,49
299.,Starsky & Hutch,(2004),101 min,Comedy -  Crime,6.1,"$60,000,000","88,237,754",150708,55
300.,S.W.A.T.,(2003),117 min,Action -  Adventure -  Crime,6.0,"$80,000,000","116,934,650",150664,45
301.,Fun with Dick and Jane,(2005),90 min,Comedy -  Crime,6.2,"$100,000,000","110,332,737",148944,47
302.,Bad Santa,(2003),92 min,Comedy -  Crime -  Drama,7.1,"$23,000,000","60,060,328",148739,70
303.,Smokin' Aces,(2006),108 min,Action -  Comedy -  Crime,6.6,"$17,000,000","35,662,731",148357,45
304.,Killing Them Softly,(2012),97 min,Crime -  Drama -  Thriller,6.2,"$15,000,000","15,026,056",148175,64
305.,A Bronx Tale,(1993),121 min,Crime -  Drama,7.8,"$22,000,000","17,266,971",148068,80
306.,Ghost in the Shell,(1995),83 min,Animation -  Action -  Crime,7.9,"¥330,000,000","515,905",147940,76
307.,The Negotiator,(1998),140 min,Action -  Crime -  Drama,7.3,"$50,000,000","44,484,065",147847,62
308.,Tower Heist,(2011),104 min,Action -  Comedy -  Crime,6.2,"$75,000,000","78,046,570",147600,59
309.,Rope,(1948),80 min,Crime -  Drama -  Mystery,7.9,"$1,500,000",,147528,73
310.,A Fish Called Wanda,(1988),108 min,Comedy -  Crime,7.5,"$7,500,000","63,493,712",146957,80
311.,The Texas Chainsaw Massacre,(2003),98 min,Crime -  Horror,6.2,"$9,500,000","80,571,655",146643,38
312.,Boyz n the Hood,(1991),112 min,Crime -  Drama,7.8,"$6,500,000","57,504,069",145866,76
313.,Spring Breakers,(2012),94 min,Crime -  Drama -  Thriller,5.3,"$5,000,000","14,123,773",145124,63
314.,House of Gucci,(2021),158 min,Biography -  Crime -  Drama,6.6,"$75,000,000","53,809,574",144953,59
315.,John Wick: Chapter 4,(2023),169 min,Action -  Crime -  Thriller,8.2,"$90,000,000",,143837,78
316.,Raising Arizona,(1987),94 min,Comedy -  Crime,7.3,"$6,000,000","22,847,564",143579,69
317.,The Mule,(2018),116 min,Crime -  Drama -  Thriller,7.0,"$50,000,000","103,804,407",142665,58
318.,Despicable Me 3,(2017),89 min,Animation -  Adventure -  Comedy,6.2,"$80,000,000","264,624,300",142205,49
319.,The Devil All the Time,(2020),138 min,Crime -  Drama -  Thriller,7.1,,,141775,55
320.,Snakes on a Plane,(2006),105 min,Action -  Adventure -  Crime,5.5,"$33,000,000","34,020,814",141751,58
321.,F9: The Fast Saga,(2021),143 min,Action -  Crime -  Thriller,5.2,"$200,000,000","173,202,780",141581,58
322.,Escape from Alcatraz,(1979),112 min,Action -  Biography -  Crime,7.6,"$8,000,000","43,000,000",141490,76
323.,Payback,(I) (1999),100 min,Action -  Crime -  Drama,7.1,"$90,000,000","81,526,121",141347,46
324.,Get Hard,(2015),100 min,Comedy -  Crime,6.0,"$40,000,000","90,411,453",141194,34
325.,Irreversible,(2002),97 min,Crime -  Drama -  Mystery,7.3,,"753,501",140289,51
326.,R.I.P.D.,(2013),96 min,Action -  Adventure -  Comedy,5.6,"$130,000,000","33,618,855",139369,25
327.,K.G.F: Chapter 2,(2022),168 min,Action -  Crime -  Drama,8.3,"₹1,000,000,000","6,604,562",139159,
328.,John Q,(2002),116 min,Crime -  Drama -  Thriller,7.1,"$36,000,000","71,756,802",138419,30
329.,Miller's Crossing,(1990),115 min,Crime -  Drama -  Thriller,7.7,"$14,000,000","5,080,409",138044,66
330.,I Care a Lot,(2020),118 min,Comedy -  Crime -  Drama,6.3,"$14,000,000",,137549,66
331.,Let's Be Cops,(2014),104 min,Action -  Comedy -  Crime,6.4,"$17,000,000","82,390,774",136906,30
332.,Identity Thief,(2013),111 min,Comedy -  Crime -  Drama,5.7,"$35,000,000","134,506,920",136731,35
333.,8MM,(1999),123 min,Crime -  Drama -  Mystery,6.6,"$40,000,000","36,663,315",136711,19
334.,Strangers on a Train,(1951),92 min,Crime -  Drama -  Film-Noir,7.9,"$1,200,000","7,630,000",136674,88
335.,I Saw the Devil,(2010),144 min,Action -  Crime -  Drama,7.8,,"128,392",136560,67
336.,Capote,(2005),114 min,Biography -  Crime -  Drama,7.3,"$7,000,000","28,747,570",136241,88
337.,Bronson,(2008),92 min,Action -  Crime -  Drama,7.0,"$230,000","104,792",135456,71
338.,Nerve,(I) (2016),96 min,Action -  Adventure -  Crime,6.5,"$19,000,000","38,583,626",135007,58
339.,The Guilty,(2021),90 min,Crime -  Drama -  Thriller,6.3,,,134412,63
340.,Matchstick Men,(2003),116 min,Comedy -  Crime -  Drama,7.3,"$62,000,000","36,906,460",134122,61
341.,Papillon,(1973),151 min,Biography -  Crime -  Drama,8.0,"$12,000,000","53,267,000",133889,58
342.,Killer Elite,(2011),116 min,Action -  Crime -  Thriller,6.4,"$70,000,000","25,124,986",132741,44
343.,Savages,(I) (2012),131 min,Action -  Crime -  Drama,6.4,"$45,000,000","47,382,068",132189,59
344.,My Cousin Vinny,(1992),120 min,Comedy -  Crime,7.6,"$11,000,000","52,929,168",131470,68
345.,Ransom,(1996),121 min,Action -  Crime -  Thriller,6.7,"$80,000,000","136,492,681",131361,60
346.,Green Room,(2015),95 min,Crime -  Drama -  Horror,7.0,"$5,000,000","3,219,029",130831,79
347.,The Score,(2001),124 min,Action -  Crime -  Drama,6.8,"$68,000,000","71,069,884",130674,71
348.,Twins,(1988),107 min,Comedy -  Crime,6.1,"$15,000,000","111,936,400",130516,53
349.,Good Time,(2017),102 min,Crime -  Drama -  Thriller,7.3,"$4,500,000","2,026,499",130211,80
350.,Charlie's Angels: Full Throttle,(2003),106 min,Action -  Adventure -  Comedy,4.9,"$120,000,000","100,830,111",130191,48
351.,Witness for the Prosecution,(1957),116 min,Crime -  Drama -  Mystery,8.4,"$3,000,000","8,175,000",129125,76
352.,Saw V,(2008),92 min,Crime -  Horror -  Thriller,5.8,"$10,800,000","56,746,769",128490,20
353.,Max Payne,(2008),100 min,Action -  Crime -  Drama,5.3,"$35,000,000","40,689,393",128021,31
354.,What Happened to Monday,(2017),123 min,Action -  Crime -  Fantasy,6.8,,,127822,47
355.,Serpico,(1973),130 min,Biography -  Crime -  Drama,7.7,"$3,000,000","29,800,000",127670,81
356.,Infernal Affairs,(2002),101 min,Action -  Crime -  Drama,8.0,"$6,428,966","169,659",127393,75
357.,The French Connection,(1971),104 min,Action -  Crime -  Drama,7.7,"$1,800,000","15,630,710",127277,94
358.,The Raid 2,(2014),150 min,Action -  Crime -  Thriller,7.9,"$4,500,000","2,627,209",126783,71
359.,Parker,(2013),118 min,Action -  Crime -  Thriller,6.2,"$35,000,000","17,616,641",125571,42
360.,This Is England,(2006),101 min,Crime -  Drama,7.7,"£1,500,000","327,919",124845,86
361.,Wild Things,(1998),108 min,Crime -  Drama -  Mystery,6.6,"$20,000,000","29,753,944",124670,52
362.,Contraband,(2012),109 min,Action -  Crime -  Drama,6.4,"$25,000,000","66,528,000",124521,51
363.,A Walk Among the Tombstones,(2014),114 min,Action -  Crime -  Drama,6.5,"$28,000,000","26,307,600",124180,57
364.,Beverly Hills Cop II,(1987),100 min,Action -  Comedy -  Crime,6.5,"$27,000,000","153,665,000",124151,48
365.,The Whole Nine Yards,(2000),98 min,Comedy -  Crime,6.7,"$41,300,000","57,262,492",124125,47
366.,Homefront,(I) (2013),100 min,Action -  Crime -  Thriller,6.5,"$22,000,000","20,158,492",123768,40
367.,The Best Offer,(2013),131 min,Crime -  Drama -  Mystery,7.8,"€13,500,000","85,433",123020,49
368.,The Life of David Gale,(2003),130 min,Crime -  Drama -  Thriller,7.5,"$38,000,000","19,593,740",122929,31
369.,You Were Never Really Here,(2017),89 min,Crime -  Drama,6.7,,"2,523,610",122818,84
370.,Step Up,(2006),104 min,Crime -  Drama -  Music,6.5,"$12,000,000","65,328,121",122137,48
371.,Catwoman,(2004),104 min,Action -  Crime -  Fantasy,3.4,"$100,000,000","40,202,379",122132,27
372.,The 400 Blows,(1959),99 min,Crime -  Drama,8.1,,,121782,
373.,The Unbearable Weight of Massive Talent,(2022),107 min,Action -  Comedy -  Crime,7.0,"$30,000,000",,121445,68
374.,Home Alone 3,(1997),102 min,Action -  Comedy -  Crime,4.5,"$32,000,000","30,882,515",121115,
375.,Judge Dredd,(1995),96 min,Action -  Crime -  Sci-Fi,5.6,"$90,000,000","34,693,481",121041,
376.,The Jackal,(1997),124 min,Action -  Crime -  Drama,6.4,"$60,000,000","54,930,280",120375,36
377.,Rang De Basanti - Die Farbe Safran,(2006),167 min,Comedy -  Crime -  Drama,8.1,,"2,197,331",120365,
378.,Out of the Furnace,(2013),116 min,Action -  Crime -  Drama,6.7,"$22,000,000","11,326,836",120261,63
379.,Miami Vice,(2006),132 min,Action -  Adventure -  Crime,6.0,"$135,000,000","63,450,470",120018,66
380.,Entrapment,(1999),113 min,Action -  Crime -  Romance,6.3,"$66,000,000","87,704,396",119956,54
381.,Exam,(2009),101 min,Crime -  Horror -  Mystery,6.8,,,119701,
382.,The Family,(I) (2013),111 min,Comedy -  Crime -  Thriller,6.3,"$30,000,000","36,918,811",119391,42
383.,From Paris with Love,(2010),92 min,Action -  Crime -  Thriller,6.4,"$52,000,000","23,979,741",119222,42
384.,Ride Along,(2014),99 min,Action -  Comedy -  Crime,6.1,"$25,000,000","134,938,200",118124,41
385.,Den of Thieves,(2018),140 min,Action -  Crime -  Drama,7.0,"$30,000,000","44,947,622",117301,49
386.,West Side Story,(1961),153 min,Crime -  Drama -  Musical,7.6,"$6,000,000","43,656,822",117222,86
387.,The Naked Gun 2½: The Smell of Fear,(1991),85 min,Comedy -  Crime,6.9,"$23,000,000","86,930,411",117050,65
388.,Street Kings,(2008),109 min,Action -  Crime -  Thriller,6.8,"$20,000,000","26,418,667",116452,55
389.,Bonnie and Clyde,(1967),111 min,Action -  Biography -  Crime,7.7,"$2,500,000",,116231,86
390.,Premium Rush,(2012),91 min,Action -  Crime -  Thriller,6.5,"$35,000,000","20,275,446",116116,66
391.,Trance,(I) (2013),101 min,Crime -  Drama -  Mystery,6.9,"$20,000,000","2,319,187",115782,61
392.,The Basketball Diaries,(1995),102 min,Biography -  Crime -  Drama,7.3,"$2,000,000","2,424,439",115456,46
393.,Only God Forgives,(2013),90 min,Action -  Crime -  Drama,5.7,"$4,800,000","778,565",114894,37
394.,A Single Man,(2009),99 min,Crime -  Drama -  Romance,7.5,"$7,000,000","9,166,863",114803,77
395.,Eraser,(1996),115 min,Action -  Crime -  Thriller,6.2,"$100,000,000","101,295,562",114679,56
396.,A Scanner Darkly,(2006),100 min,Animation -  Comedy -  Crime,7.0,"$8,700,000","5,501,616",114282,73
397.,101 Dalmatians,(1996),103 min,Adventure -  Comedy -  Crime,5.7,"$75,000,000","136,189,294",113915,49
398.,Paul Blart: Mall Cop,(2009),91 min,Action -  Comedy -  Crime,5.2,"$26,000,000","20,819,129",113367,39
399.,The Unforgivable,(2021),112 min,Crime -  Drama,7.1,,,113284,41
400.,Safe,(I) (2012),94 min,Action -  Crime -  Thriller,6.5,"$30,000,000","17,142,080",113261,55
401.,Mean Streets,(1973),112 min,Crime -  Drama -  Thriller,7.2,"$500,000","3,132,645",112880,96
402.,Dancer in the Dark,(2000),140 min,Crime -  Drama -  Musical,7.9,"$12,800,000","4,184,036",112816,61
403.,Hannibal Rising,(2007),121 min,Adventure -  Crime -  Drama,6.1,"$50,000,000","27,670,986",112705,35
404.,Filth,(I) (2013),97 min,Action -  Comedy -  Crime,7.0,"$5,000,000","34,321",112114,56
405.,Hostage,(2005),113 min,Action -  Crime -  Drama,6.5,"$52,000,000","34,639,939",112064,44
406.,The Man Who Wasn't There,(2001),116 min,Crime -  Drama,7.5,"$20,000,000","7,494,849",111878,73
407.,Run All Night,(2015),114 min,Action -  Crime -  Thriller,6.6,"$50,000,000","26,461,644",111646,59
408.,Frequency,(2000),118 min,Crime -  Drama -  Mystery,7.4,"$31,000,000","45,010,278",111454,67
409.,The Little Things,(2021),128 min,Crime -  Drama -  Mystery,6.3,"$30,000,000",,110991,54
410.,Glengarry Glen Ross,(1992),100 min,Crime -  Drama -  Mystery,7.7,"$12,500,000","10,725,228",109967,82
411.,Faster,(2010),98 min,Action -  Crime -  Drama,6.4,"$24,000,000","23,240,020",109709,44
412.,Tango & Cash,(1989),104 min,Action -  Comedy -  Crime,6.4,"$55,000,000","63,408,614",109254,41
413.,U.S. Marshals,(1998),131 min,Action -  Crime -  Thriller,6.5,"$60,000,000","57,167,405",109219,47
414.,The Interpreter,(2005),128 min,Crime -  Mystery -  Thriller,6.4,"$80,000,000","72,708,161",109059,62
415.,The King of Comedy,(1982),109 min,Comedy -  Crime -  Drama,7.8,"$20,000,000","2,500,000",108932,73
416.,Heathers,(1988),103 min,Comedy -  Crime,7.2,"$3,000,000","1,108,462",108737,72
417.,Super Troopers,(2001),100 min,Comedy -  Crime -  Mystery,7.0,"$3,000,000","18,488,314",108610,48
418.,In the Line of Fire,(1993),128 min,Action -  Crime -  Drama,7.2,"$40,000,000","102,314,283",108237,74
419.,Brick,(2005),110 min,Crime -  Drama -  Mystery,7.2,"$475,000","2,060,589",108118,72
420.,Naked Gun 33 1/3: The Final Insult,(1994),83 min,Comedy -  Crime,6.5,"$30,000,000","51,132,598",107485,63
421.,Enter the Dragon,(1973),102 min,Action -  Crime -  Drama,7.6,"$850,000","25,000,000",107467,83
422.,Inherent Vice,(2014),148 min,Comedy -  Crime -  Drama,6.6,"$20,000,000","8,110,975",107296,81
423.,Patriots Day,(2016),133 min,Action -  Crime -  Drama,7.3,"$45,000,000","31,886,361",107186,69
424.,The Last Boy Scout,(1991),105 min,Action -  Comedy -  Crime,7.0,"$43,000,000","59,509,925",107077,52
425.,Before the Devil Knows You're Dead,(2007),117 min,Crime -  Drama -  Thriller,7.3,"$18,000,000","7,083,025",107011,86
426.,Touch of Evil,(1958),95 min,Crime -  Drama -  Film-Noir,8.0,"$829,000","2,237,659",106771,99
427.,The Ladykillers,(2004),104 min,Comedy -  Crime -  Thriller,6.2,"$35,000,000","39,799,191",106702,56
428.,Elite Squad,(2007),115 min,Action -  Crime -  Drama,8.0,"$4,000,000","8,060",106566,33
429.,The Brothers Grimsby,(2016),83 min,Action -  Adventure -  Comedy,6.2,"$35,000,000","6,864,016",106320,44
430.,The Warriors,(1979),93 min,Action -  Crime -  Thriller,7.6,"$4,000,000","22,490,039",105789,65
431.,The Cell,(2000),107 min,Crime -  Horror -  Sci-Fi,6.4,"$33,000,000","61,334,059",105387,40
432.,Alpha Dog,(2006),122 min,Biography -  Crime -  Drama,6.9,,"15,229,325",105253,53
433.,Unleashed,(2005),103 min,Action -  Crime -  Drama,7.0,"$45,000,000","24,520,892",105216,58
434.,Lolita,(1962),153 min,Crime -  Drama -  Romance,7.5,"$2,000,000","9,250,000",104682,79
435.,The Losers,(I) (2010),97 min,Action -  Adventure -  Comedy,6.2,"$25,000,000","23,580,735",104412,44
436.,The Pale Blue Eye,(2022),128 min,Crime -  Horror -  Mystery,6.6,"$72,000,000",,104371,56
437.,Headhunters,(2011),100 min,Action -  Crime -  Thriller,7.5,"NOK 30,300,000","1,196,752",104218,72
438.,Mississippi Burning,(1988),128 min,Crime -  Drama -  Mystery,7.8,"$15,000,000","34,603,943",104062,65
439.,30 Minutes or Less,(2011),83 min,Action -  Comedy -  Crime,6.1,"$28,000,000","37,053,924",103922,49
440.,A Nightmare on Elm Street,(2010),95 min,Crime -  Drama -  Horror,5.2,"$35,000,000","63,075,011",103530,35
441.,Hustlers,(2019),110 min,Comedy -  Crime -  Drama,6.3,"$20,000,000","104,963,598",103523,79
442.,Clear and Present Danger,(1994),141 min,Action -  Crime -  Drama,6.9,"$62,000,000","122,187,717",103325,74
443.,The Counselor,(2013),117 min,Crime -  Drama -  Thriller,5.4,"$25,000,000","16,973,715",103242,48
444.,Cellular,(2004),94 min,Action -  Crime -  Thriller,6.5,"$25,000,000","32,003,620",102959,60
445.,Rambo: Last Blood,(2019),89 min,Action -  Crime -  Thriller,6.1,"$50,000,000","44,819,352",102939,26
446.,The Devil's Rejects,(2005),107 min,Crime -  Horror -  Western,6.7,"$7,000,000","17,044,981",102809,53
447.,Money Monster,(2016),98 min,Crime -  Drama -  Mystery,6.5,"$27,000,000","41,012,075",102135,55
448.,Clue,(1985),94 min,Comedy -  Crime -  Mystery,7.2,"$15,000,000","14,643,997",101803,41
449.,Running Scared,(2006),122 min,Action -  Crime -  Drama,7.3,"$15,000,000","6,855,137",101430,41
450.,Runaway Jury,(2003),127 min,Crime -  Drama -  Thriller,7.1,"$60,000,000","49,443,628",100754,61
451.,Widows,(2018),129 min,Crime -  Drama -  Thriller,6.8,"$42,000,000","42,402,632",100669,84
452.,Boys Don't Cry,(1999),118 min,Biography -  Crime -  Drama,7.5,"$2,000,000","11,533,945",100351,86
453.,A Prophet,(2009),155 min,Crime -  Drama,7.8,"$13,000,000","2,084,637",100123,90
454.,Funny Games,(2007),111 min,Crime -  Drama -  Thriller,6.5,"$15,000,000","1,294,640",99963,44
455.,Blood Simple,(1984),99 min,Crime -  Drama -  Thriller,7.6,"$1,500,000","2,150,000",99815,83
456.,The American,(2010),105 min,Action -  Crime -  Drama,6.3,"$20,000,000","35,606,376",99773,61
457.,Cop Land,(1997),105 min,Crime -  Drama -  Thriller,7.0,"$15,000,000","44,886,089",99682,64
458.,Intolerable Cruelty,(2003),100 min,Comedy -  Crime -  Romance,6.3,"$60,000,000","35,327,628",99592,71
459.,Gangs of Wasseypur,(2012),321 min,Action -  Comedy -  Crime,8.2,"₹184,000,000",,99115,89
460.,Hitman's Wife's Bodyguard,(2021),100 min,Action -  Comedy -  Crime,6.1,"$70,000,000",,99010,32
461.,Revolver,(2005),111 min,Action -  Crime -  Drama,6.3,,"75,420",98883,25
462.,Knock Knock,(I) (2015),99 min,Crime -  Drama -  Horror,4.9,"$2,500,000","36,336",98691,53
463.,Dead Man Walking,(1995),122 min,Crime -  Drama,7.5,"$11,000,000","39,387,284",98002,80
464.,I Love You Phillip Morris,(2009),98 min,Biography -  Comedy -  Crime,6.6,"$13,000,000","2,035,566",97675,65
465.,"Extremely Wicked, Shockingly Evil and Vile",(2019),110 min,Biography -  Crime -  Drama,6.7,,,97654,52
466.,Malignant,(I) (2021),111 min,Crime -  Horror -  Mystery,6.2,"$40,000,000",,97318,51
467.,The International,(I) (2009),118 min,Action -  Crime -  Drama,6.5,"$50,000,000","25,450,527",97306,52
468.,Andhadhun,(2018),139 min,Crime -  Mystery -  Thriller,8.2,"$4,500,000","1,373,943",96840,
469.,The Girl Who Played with Fire,(2009),129 min,Action -  Crime -  Drama,7.1,"€4,000,000","9,081,782",96718,66
470.,Grosse Pointe Blank,(1997),107 min,Action -  Comedy -  Crime,7.3,"$15,000,000","28,014,536",96689,76
471.,Wild at Heart,(1990),125 min,Comedy -  Crime -  Drama,7.2,"$9,500,000","14,560,247",96609,52
472.,The Thomas Crown Affair,(1999),113 min,Crime -  Romance -  Thriller,6.8,"$48,000,000","69,304,264",96348,72
473.,Big Eyes,(I) (2014),106 min,Biography -  Crime -  Drama,7.0,"$10,000,000","14,479,776",96014,62
474.,The Highwaymen,(2019),132 min,Biography -  Crime -  Drama,6.9,"$49,000,000",,95723,58
475.,Out of Sight,(1998),123 min,Comedy -  Crime -  Drama,7.0,"$48,000,000","37,562,568",95664,85
476.,Penguins of Madagascar,(2014),92 min,Animation -  Action -  Adventure,6.6,"$132,000,000","83,348,920",95536,53
477.,Following,(1998),69 min,Crime -  Mystery -  Thriller,7.5,"$6,000","48,482",95455,60
478.,Elektra,(2005),97 min,Action -  Adventure -  Crime,4.7,"$43,000,000","24,409,722",95125,34
479.,Risky Business,(1983),99 min,Comedy -  Crime -  Drama,6.8,"$6,200,000","63,500,000",95034,75
480.,Elephant,(2003),81 min,Crime -  Drama -  Thriller,7.1,"$3,000,000","1,227,000",94050,70
481.,War,(2007),103 min,Action -  Crime -  Thriller,6.2,"$25,000,000","22,486,409",93917,36
482.,Ghost Dog: The Way of the Samurai,(1999),116 min,Crime -  Drama,7.5,,"3,308,029",93657,67
483.,Hitman: Agent 47,(2015),96 min,Action -  Crime -  Thriller,5.7,"$35,000,000","22,467,450",93143,28
484.,Project Power,(2020),113 min,Action -  Crime -  Sci-Fi,6.0,"$85,000,000",,92686,51
485.,The X Files: I Want to Believe,(2008),104 min,Crime -  Drama -  Horror,5.9,"$30,000,000","20,982,478",92559,47
486.,Taking Lives,(2004),103 min,Crime -  Mystery -  Thriller,6.2,"$45,000,000","32,682,342",92469,38
487.,The Killing,(1956),84 min,Crime -  Drama -  Film-Noir,7.9,"$320,000",,92401,91
488.,Spenser Confidential,(2020),111 min,Action -  Comedy -  Crime,6.2,,,92359,49
489.,The Night of the Hunter,(1955),92 min,Crime -  Drama -  Film-Noir,8.0,"$795,000","654,000",92117,97
490.,The Guard,(2011),96 min,Comedy -  Crime -  Thriller,7.3,"$6,000,000","5,359,774",92038,78
491.,Richard Jewell,(2019),131 min,Biography -  Crime -  Drama,7.5,"$45,000,000",,92031,68
492.,K.G.F: Chapter 1,(2018),156 min,Action -  Crime -  Drama,8.2,"₹800,000,000",,91219,
493.,The Pelican Brief,(1993),141 min,Crime -  Drama -  Mystery,6.6,"$45,000,000","100,768,056",91189,50
494.,The Outsiders,(1983),91 min,Crime -  Drama,7.0,"$10,000,000","25,600,000",90826,45
495.,We Own the Night,(2007),117 min,Action -  Crime -  Drama,6.8,"$21,000,000","28,563,179",90676,59
496.,Shot Caller,(2017),121 min,Crime -  Drama -  Thriller,7.3,,,90553,59
497.,Double Jeopardy,(1999),105 min,Crime -  Drama -  Mystery,6.5,"$70,000,000","116,741,558",90331,40
498.,Confessions of a Dangerous Mind,(2002),113 min,Biography -  Comedy -  Crime,7.0,"$30,000,000","16,003,576",90022,67
499.,Righteous Kill,(2008),101 min,Crime -  Mystery -  Thriller,6.0,"$60,000,000","40,081,410",89995,36
500.,Unthinkable,(2010),97 min,Crime -  Drama -  Thriller,7.0,"$15,000,000",,89933,
501.,The Bling Ring,(2013),90 min,Biography -  Crime -  Drama,5.6,"$8,000,000","5,841,046",89538,66
502.,Harry Brown,(2009),103 min,Action -  Crime -  Drama,7.2,"$7,300,000","1,818,681",89384,55
503.,The Pink Panther,(2006),93 min,Adventure -  Comedy -  Crime,5.6,"$80,000,000","82,226,474",89328,38
504.,Cop Out,(2010),107 min,Action -  Comedy -  Crime,5.5,"$30,000,000","44,875,481",89218,31
505.,Midnight Run,(1988),126 min,Action -  Comedy -  Crime,7.5,"$35,000,000","38,413,606",89194,78
506.,Arlington Road,(1999),117 min,Action -  Crime -  Drama,7.2,"$31,000,000","24,362,501",88990,65
507.,RoboCop 2,(1990),117 min,Action -  Crime -  Sci-Fi,5.8,"$25,000,000","45,681,173",88949,42
508.,Blitz,(2011),97 min,Action -  Crime -  Thriller,6.1,,,88756,
509.,A Perfect Murder,(1998),107 min,Crime -  Drama -  Thriller,6.6,"$60,000,000","67,638,368",88260,50
510.,Drishyam,(2015),163 min,Crime -  Drama -  Mystery,8.2,"$9,400,000","739,478",88231,
511.,Mechanic: Resurrection,(2016),98 min,Action -  Adventure -  Crime,5.7,"$40,000,000","21,218,403",88158,38
512.,Going in Style,(2017),96 min,Comedy -  Crime,6.6,"$25,000,000","45,018,541",88116,50
513.,West Side Story,(2021),156 min,Crime -  Drama -  Musical,7.2,"$100,000,000",,88045,85
514.,Big Momma's House,(2000),99 min,Action -  Comedy -  Crime,5.2,"$30,000,000","117,559,438",87915,33
515.,The Big Sleep,(1946),114 min,Crime -  Film-Noir -  Mystery,7.9,"$250,000","6,540,000",87831,86
516.,All the Money in the World,(2017),132 min,Biography -  Crime -  Drama,6.8,"$50,000,000","25,113,707",87638,72
517.,Analyze That,(2002),96 min,Comedy -  Crime,5.9,"$60,000,000","32,122,249",87620,37
518.,Dope,(2015),103 min,Adventure -  Comedy -  Crime,7.2,"$7,000,000","17,506,470",87421,72
519.,Chungking Express,(1994),102 min,Comedy -  Crime -  Drama,8.0,,"600,200",87410,78
520.,Death Note,(I) (2017),101 min,Crime -  Drama -  Fantasy,4.5,"$50,000,000",,87291,43
521.,Delicatessen,(1991),99 min,Comedy -  Crime,7.5,"FRF 24,000,000","1,794,187",87254,66
522.,The Raven,(I) (2012),110 min,Crime -  Mystery -  Thriller,6.4,"$26,000,000","16,008,272",86895,44
523.,Fallen,(1998),124 min,Action -  Crime -  Drama,7.0,,"25,188,006",86859,
524.,Frailty,(2001),100 min,Crime -  Drama -  Thriller,7.2,"$11,000,000","13,103,828",86850,64
525.,Taxi,(I) (1998),89 min,Action -  Comedy -  Crime,7.0,"FRF 53,000,000","268,254",86022,
